run_name,delay_k,efference_length,step,network_class,dataset,decode_seed,decode_version,group_version,frac_valid,condition,arm,budget,wandb_id,seed,group,n_layers,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,forward_model,5,proprio,False,0.5996965536705843,0.5736107997011425,1000.0,40796,17089,2325
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,input,1,proprio,False,0.6124511718535119,0.5778445975821187,1000.0,40796,17089,1037
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,latent_z,1,proprio,False,0.0331955849923302,0.0224232670116706,10000.0,40796,17089,32
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,p_hat,1,proprio,False,0.4725318434547876,0.4001587513426928,10.0,40796,17089,277
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,whole_network,17,proprio,False,0.578024843989772,0.5114824615677795,10000.0,40796,17089,7233
RodentForwardModel_delay10_eff10_nodetach-20260813-064420,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.9088262335274288,pgfm_2g,implicit,2000000000,1dbmh27r,42,decoder,5,delta,False,0.2883526245039356,0.2446615711649854,10000.0,53958,23145,2124
RodentForwardModel_delay10_eff10_nodetach-20260813-064420,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.9088262335274288,pgfm_2g,implicit,2000000000,1dbmh27r,42,encoder,7,delta,False,0.0297307801641689,0.0176839634942229,100000.0,53958,23145,2784
RodentForwardModel_delay10_eff10_nodetach-20260813-064420,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.9088262335274288,pgfm_2g,implicit,2000000000,1dbmh27r,42,fm_plus_decoder,10,delta,False,0.648044410110961,0.5848392918441195,1000.0,53958,23145,4449
RodentForwardModel_delay10_eff10_nodetach-20260813-064420,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.9088262335274288,pgfm_2g,implicit,2000000000,1dbmh27r,42,forward_model,5,delta,False,0.649211355960241,0.5921690445080054,1000.0,53958,23145,2325
RodentForwardModel_delay10_eff10_nodetach-20260813-064420,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.9088262335274288,pgfm_2g,implicit,2000000000,1dbmh27r,42,input,1,delta,False,0.8592832100165261,0.8280145323967975,100.0,53958,23145,657
RodentForwardModel_delay10_eff10_nodetach-20260813-064420,10,10,2000076800,RodentForwardModel,old_eval,0,1,1,0.9088262335274288,pgfm_2g,implicit,2000000000,1dbmh27r,42,latent_z,1,delta,False,0.0125294105365606,0.0084648413317937,1000.0,53958,23145,32
