wandb_id,condition,cohort,budget,delay,seed,step,reward_mean,reward_smooth
jp5jehho,delayed_mlp,primary,1000000000,0,46,131481600,970.8753662109376,971.5357917336856
jp5jehho,delayed_mlp,primary,1000000000,0,46,132218880,971.6607666015624,971.5173088522519
jp5jehho,delayed_mlp,primary,1000000000,0,46,132710400,971.7982177734376,971.5262379365809
jp5jehho,delayed_mlp,primary,1000000000,0,46,133201920,972.0305786132812,971.5848999023438
jp5jehho,delayed_mlp,primary,1000000000,0,46,133939200,971.2206420898438,971.5545295266544
jp5jehho,delayed_mlp,primary,1000000000,0,46,134430720,971.8616943359376,971.5744054457721
jp5jehho,delayed_mlp,primary,1000000000,0,46,135168000,972.513916015625,971.6236069623162
jp5jehho,delayed_mlp,primary,1000000000,0,46,135659520,972.0847778320312,971.6520206227023
jp5jehho,delayed_mlp,primary,1000000000,0,46,136396800,972.1698608398438,971.6725104836856
jp5jehho,delayed_mlp,primary,1000000000,0,46,136888320,971.8785400390624,971.6966014188879
jp5jehho,delayed_mlp,primary,1000000000,0,46,137625600,972.0137329101562,971.7020371380975
jp5jehho,delayed_mlp,primary,1000000000,0,46,138117120,971.5695190429688,971.6923899931066
jp5jehho,delayed_mlp,primary,1000000000,0,46,138608640,971.8682861328124,971.6975815716912
jp5jehho,delayed_mlp,primary,1000000000,0,46,139345920,971.77783203125,971.7102481617648
jp5jehho,delayed_mlp,primary,1000000000,0,46,139837440,972.5709228515624,971.7874037798713
jp5jehho,delayed_mlp,primary,1000000000,0,46,140574720,972.3265991210938,971.8433873793658
jp5jehho,delayed_mlp,primary,1000000000,0,46,141066240,971.982666015625,971.8943481445312
jp5jehho,delayed_mlp,primary,1000000000,0,46,141803520,972.95263671875,972.0165405273438
jp5jehho,delayed_mlp,primary,1000000000,0,46,142295040,972.6016845703124,972.0718886431525
jp5jehho,delayed_mlp,primary,1000000000,0,46,143032320,972.9867553710938,972.1418026194852
jp5jehho,delayed_mlp,primary,1000000000,0,46,143523840,972.6973876953124,972.1810266831342
jp5jehho,delayed_mlp,primary,1000000000,0,46,144015360,972.7758178710938,972.272507611443
jp5jehho,delayed_mlp,primary,1000000000,0,46,144752640,972.925048828125,972.3350578756894
jp5jehho,delayed_mlp,primary,1000000000,0,46,145244160,972.843017578125,972.3544167911305
jp5jehho,delayed_mlp,primary,1000000000,0,46,145981440,972.7348022460938,972.3926535213695
jp5jehho,delayed_mlp,primary,1000000000,0,46,146472960,972.5709838867188,972.416248994715
