run_name,condition,network_class,dataset,delay_k,efference_length,step,proprio_size,probe,target,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/value/0,delta,,-inf,1.0,57019,24990,917
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/value/0,delta,0.6047739662847986,0.555913145170585,1000.0,54687,23992,917
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/value/0,delta,0.5311287173750463,0.4984167320936982,100.0,49173,18907,917
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/value/0,delta,0.5560489450226234,0.5149542562562245,1000.0,36353,14130,917
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/value/1,delta,,-inf,1.0,57019,24990,1024
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/value/1,delta,0.2408348386261011,0.0964979720792728,1000.0,54687,23992,1024
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/value/1,delta,0.21510859341867905,0.08931853191679673,1000.0,49173,18907,1024
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/value/1,delta,0.1999629163697918,0.0460443044252844,1000.0,36353,14130,1024
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/value/2,delta,,-inf,1.0,57019,24990,1024
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/value/2,delta,0.10299018688785389,-0.017165521139953066,1000.0,54687,23992,1024
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/value/2,delta,0.08076944850639567,-0.01606821637630307,1000.0,49173,18907,1024
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/value/2,delta,0.07460843391283667,-0.05744849799031071,1000.0,36353,14130,1024
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/value/3,delta,,-inf,1.0,57019,24990,1
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/value/3,delta,1.834768904884765e-05,6.9746935250636355e-06,1000.0,54687,23992,1
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/value/3,delta,0.00010320868945989936,2.3255582830672417e-05,1000.0,49173,18907,1
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/value/3,delta,0.0003792481293974914,0.0005006864289427426,1.0,36353,14130,1
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,input::current_proprio,proprio,0.9999999935650443,0.9999999898799347,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,input::current_proprio,proprio,0.9999999935084676,0.9999999871338455,1.0,54687,23992,277
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,input::current_proprio,proprio,0.9999999835275977,0.9999999350368893,1.0,49173,18907,277
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,input::current_proprio,proprio,0.9999999942523375,0.9999999894033981,1.0,36353,14130,277
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,input::delayed_plus_efference,proprio,0.9999999935650443,0.9999999898799347,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,input::delayed_plus_efference,proprio,0.7104441453190515,0.63653755278709,100.0,54687,23992,467
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,input::delayed_plus_efference,proprio,0.729984451370307,0.6608679944071699,100.0,49173,18907,657
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,input::delayed_plus_efference,proprio,0.6612718779559035,0.5639540611689466,1000.0,36353,14130,1037
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,input::delayed_proprio,proprio,0.9999999935650443,0.9999999898799347,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,input::delayed_proprio,proprio,0.1587660710764549,0.13443362161940464,1000.0,54687,23992,277
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,input::delayed_proprio,proprio,0.08779012076396808,0.07805355793715196,1000.0,49173,18907,277
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,input::delayed_proprio,proprio,0.06157009787259682,0.03986623641976772,1000.0,36353,14130,277
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::0/state/proprioception,proprio,0.9999999444722156,0.999999938755539,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::0/state/proprioception,proprio,0.9999999445614377,0.9999999370722608,1.0,54687,23992,277
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::0/state/proprioception,proprio,0.9999999360827067,0.9999998873172229,1.0,49173,18907,277
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::0/state/proprioception,proprio,0.999999947196393,0.9999999410311734,1.0,36353,14130,277
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::0/state/task_obs,proprio,0.10695610935449573,0.10861283813516043,100.0,57019,24990,640
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::0/state/task_obs,proprio,0.08882626933406412,0.09086071926055406,100.0,54687,23992,640
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::0/state/task_obs,proprio,0.049791558503399225,0.060841614410654166,1000.0,49173,18907,640
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::0/state/task_obs,proprio,0.026640961479749925,0.027558567783981247,1000.0,36353,14130,640
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::1/state/proprioception,proprio,0.9999999507573697,0.9999999469908551,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::1/state/proprioception,proprio,0.9999999504540575,0.9999999456469879,1.0,54687,23992,277
