wandb_id,condition,delay,seed,step,reward_mean
icn8rgcb,delayed_mlp,7,i43/p43,480215040,947.93359375
dyfuh7fu,delayed_mlp,7,i45/p45,4915200,357.4453125
dyfuh7fu,delayed_mlp,7,i45/p45,9830400,668.15625
dyfuh7fu,delayed_mlp,7,i45/p45,14499840,689.66796875
dyfuh7fu,delayed_mlp,7,i45/p45,19415040,755.94921875
dyfuh7fu,delayed_mlp,7,i45/p45,24084480,778.78125
dyfuh7fu,delayed_mlp,7,i45/p45,28999680,810.8125
dyfuh7fu,delayed_mlp,7,i45/p45,33669120,826.2265625
dyfuh7fu,delayed_mlp,7,i45/p45,38584320,810.63671875
dyfuh7fu,delayed_mlp,7,i45/p45,43253760,780.26171875
dyfuh7fu,delayed_mlp,7,i45/p45,48168960,673.3828125
dyfuh7fu,delayed_mlp,7,i45/p45,52838400,649.9921875
dyfuh7fu,delayed_mlp,7,i45/p45,57753600,632.31640625
dyfuh7fu,delayed_mlp,7,i45/p45,62423040,600.23828125
dyfuh7fu,delayed_mlp,7,i45/p45,67338240,748.55859375
dyfuh7fu,delayed_mlp,7,i45/p45,72007680,667.04296875
dyfuh7fu,delayed_mlp,7,i45/p45,76922880,693.7109375
dyfuh7fu,delayed_mlp,7,i45/p45,81838080,710.36328125
dyfuh7fu,delayed_mlp,7,i45/p45,86507520,768.3671875
dyfuh7fu,delayed_mlp,7,i45/p45,91422720,787.7109375
dyfuh7fu,delayed_mlp,7,i45/p45,96092160,709.4296875
dyfuh7fu,delayed_mlp,7,i45/p45,101007360,723.33203125
dyfuh7fu,delayed_mlp,7,i45/p45,105676800,738.94140625
dyfuh7fu,delayed_mlp,7,i45/p45,110592000,760.7734375
dyfuh7fu,delayed_mlp,7,i45/p45,115261440,753.7265625
dyfuh7fu,delayed_mlp,7,i45/p45,120176640,764.859375
dyfuh7fu,delayed_mlp,7,i45/p45,124846080,753.46875
dyfuh7fu,delayed_mlp,7,i45/p45,129761280,838.4375
dyfuh7fu,delayed_mlp,7,i45/p45,134430720,839.3671875
dyfuh7fu,delayed_mlp,7,i45/p45,139345920,853.2578125
dyfuh7fu,delayed_mlp,7,i45/p45,144015360,857.83203125
dyfuh7fu,delayed_mlp,7,i45/p45,148930560,897.69921875
dyfuh7fu,delayed_mlp,7,i45/p45,153600000,893.47265625
dyfuh7fu,delayed_mlp,7,i45/p45,158515200,845.0859375
dyfuh7fu,delayed_mlp,7,i45/p45,163430400,882.234375
dyfuh7fu,delayed_mlp,7,i45/p45,168099840,843.42578125
dyfuh7fu,delayed_mlp,7,i45/p45,173015040,888.0234375
dyfuh7fu,delayed_mlp,7,i45/p45,177684480,872.03125
dyfuh7fu,delayed_mlp,7,i45/p45,182599680,873.01953125
dyfuh7fu,delayed_mlp,7,i45/p45,187269120,920.98828125
dyfuh7fu,delayed_mlp,7,i45/p45,192184320,903.95703125
dyfuh7fu,delayed_mlp,7,i45/p45,196853760,827.2109375
dyfuh7fu,delayed_mlp,7,i45/p45,201768960,908.1171875
dyfuh7fu,delayed_mlp,7,i45/p45,206438400,854.61328125
dyfuh7fu,delayed_mlp,7,i45/p45,211353600,915.90234375
dyfuh7fu,delayed_mlp,7,i45/p45,216023040,898.67578125
dyfuh7fu,delayed_mlp,7,i45/p45,220938240,900.08984375
dyfuh7fu,delayed_mlp,7,i45/p45,225607680,936.42578125
dyfuh7fu,delayed_mlp,7,i45/p45,230522880,937.03515625
dyfuh7fu,delayed_mlp,7,i45/p45,235438080,937.59765625
dyfuh7fu,delayed_mlp,7,i45/p45,240107520,935.0546875
dyfuh7fu,delayed_mlp,7,i45/p45,245022720,931.30859375
dyfuh7fu,delayed_mlp,7,i45/p45,249692160,932.9921875
dyfuh7fu,delayed_mlp,7,i45/p45,254607360,935.15625
dyfuh7fu,delayed_mlp,7,i45/p45,259276800,934.61328125
dyfuh7fu,delayed_mlp,7,i45/p45,264192000,940.875
dyfuh7fu,delayed_mlp,7,i45/p45,268861440,924.90234375
dyfuh7fu,delayed_mlp,7,i45/p45,273776640,691.26171875
dyfuh7fu,delayed_mlp,7,i45/p45,278446080,799.11328125
dyfuh7fu,delayed_mlp,7,i45/p45,283361280,915.3046875
dyfuh7fu,delayed_mlp,7,i45/p45,288030720,931.78125
dyfuh7fu,delayed_mlp,7,i45/p45,292945920,941.5703125
dyfuh7fu,delayed_mlp,7,i45/p45,297615360,943.5859375
dyfuh7fu,delayed_mlp,7,i45/p45,302530560,940.73828125
dyfuh7fu,delayed_mlp,7,i45/p45,307200000,941.2734375
dyfuh7fu,delayed_mlp,7,i45/p45,312115200,943.52734375
dyfuh7fu,delayed_mlp,7,i45/p45,317030400,937.3125
dyfuh7fu,delayed_mlp,7,i45/p45,321699840,944.640625
dyfuh7fu,delayed_mlp,7,i45/p45,326615040,944.2109375
