condition,arm,budget,wandb_id,run_name,delay_k,step,probe,pathway,stage_index,stage_label,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/4,encoder,4.0,enc 4,proprio,False,0.0729264009507116,0.0333727768275033,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/5,encoder,5.0,head (64),delta,False,0.0181089959860526,0.0018975280053541,1000.0,50264,21175,64
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/5,encoder,5.0,head (64),proprio,False,0.071463341162139,0.057661906040284,1000.0,50264,21175,64
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/6,encoder,6.0,latent z (32),delta,False,0.0123955756228926,0.0028253114505767,1000.0,50264,21175,32
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/6,encoder,6.0,latent z (32),proprio,False,0.0420060942204214,0.0355134483308552,1000.0,50264,21175,32
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::0/state/proprioception,preprocessing,,,delta,False,0.5357323463931549,0.5053631154630716,1000.0,50264,21175,277
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::0/state/task_obs,preprocessing,,,delta,False,0.0088394635271311,0.0025600497291926,1000.0,50264,21175,640
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::1/state/proprioception,preprocessing,,,delta,False,0.5357314208502602,0.5053640116175356,1000.0,50264,21175,277
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::1/state/task_obs,preprocessing,,,delta,False,0.0088406975843242,0.0025640560667969,1000.0,50264,21175,640
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::2/proprioception,preprocessing,,,delta,False,0.5357314208502602,0.5053640116175356,1000.0,50264,21175,277
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::2/task_obs,preprocessing,,,delta,False,0.0088406975843242,0.0025640560667969,1000.0,50264,21175,640
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::0/state/proprioception,preprocessing,,,proprio,False,0.9999997978197396,0.9999999440495362,1.0,50264,21175,277
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::0/state/task_obs,preprocessing,,,proprio,False,0.0633731890714507,0.0653893409543833,1000.0,50264,21175,640
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::1/state/proprioception,preprocessing,,,proprio,False,0.999999794404399,0.9999999493228264,1.0,50264,21175,277
