wandb_id,wandb_name,wandb_project,git_commit,tags,condition,control_mode,network,delay_k,efference_length,torque_actuators,fm_loss_weight,detach_prediction,body_target_frame,seed,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length,actual_step,reward_mean,reward_std,lifespan_mean,fm_pred_mse
0v244yas,RodentForwardModel_delay4_eff4-20260619-033209,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay4,eff4,warp",torque_forward_model,torque,forward_model,4,4,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1829.670166015625,358.48358154296875,424.4609375,
nuqt0890,RodentForwardModel_delay5_eff5-20260619-033243,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay5,eff5,warp",torque_forward_model,torque,forward_model,5,5,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1902.5728759765625,229.8212890625,440.79296875,
oeb11ok2,RodentForwardModel_delay6_eff6-20260619-033349,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay6,eff6,warp",torque_forward_model,torque,forward_model,6,6,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1899.109619140625,238.67958068847656,440.880859375,
dcgsgytz,RodentForwardModel_delay7_eff7-20260619-033456,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay7,eff7,warp",torque_forward_model,torque,forward_model,7,7,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1899.5849609375,231.030517578125,441.1201171875,
4spnzcd6,RodentForwardModel_delay8_eff8-20260619-033515,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay8,eff8,warp",torque_forward_model,torque,forward_model,8,8,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1856.89404296875,286.3036193847656,434.419921875,
3h12kbno,RodentForwardModel_delay9_eff9-20260619-033655,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay9,eff9,warp",torque_forward_model,torque,forward_model,9,9,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1875.90234375,255.567626953125,438.853515625,
6rp2ntz7,RodentForwardModel_delay10_eff10-20260619-033822,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",torque_forward_model,torque,forward_model,10,10,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1856.0142822265625,281.79296875,436.525390625,
lwf9q634,RodentForwardModel_delay12_eff12-20260619-033905,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay12,eff12,warp",torque_forward_model,torque,forward_model,12,12,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1739.9691162109375,447.7511291503906,412.904296875,
oelpm5vy,RodentForwardModel_delay15_eff15-20260619-034343,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay15,eff15,warp",torque_forward_model,torque,forward_model,15,15,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1665.438720703125,504.8869018554687,399.89453125,
bge1cw3s,RodentForwardModel_delay20_eff20-20260619-034701,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",torque_forward_model,torque,forward_model,20,20,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1587.1820068359375,555.6929931640625,384.4345703125,
7wqiu7d3,RodentForwardModel_delay25_eff25-20260619-035219,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay25,eff25,warp",torque_forward_model,torque,forward_model,25,25,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1559.510498046875,553.2080078125,384.7099609375,
g6mz0mci,RodentForwardModel_delay30_eff30-20260619-035534,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay30,eff30,warp",torque_forward_model,torque,forward_model,30,30,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1501.1363525390625,579.9451904296875,372.8671875,
